30225;4;ABC Abschleppservice Rhein Main GmbH;;;Firma;;Friedrichsdorf
7911;4;Abschlepp- und Bergungsdienst Central GmbH;;;;;Maintal
24036;9;Abschleppdienst Gaugler GmbH;;;;;Ellwangen
23548;4;Abschleppdienst Loosen;;;Firma;;Frankfurt am Main
30431;4;Abschleppdienst Murmann GmbH;;;Firma;;Rodgau
1135;4;Abschleppdienst Offenbach GmbH;;;Firma;;Offenbach
28559;4;Abschleppdienst Sascha;;;Firma;;Wiesbaden
30426;1;Becker;;Abschleppdienst Offenbach GmbH;Herrn;;Offenbach
16713;1;Bergener;Klaus;;Herrn;;Offenbach
30008;2;Bergener;Birte;;Frau;;Eichenzell
16921;1;Bergener;Klaus;;Herrn;;Grevenbroich
30613;4;BS Abschleppdienst GbR;;;Firma;;Darmstadt
16756;4;Hedderich;Uwe;;Abschlepp- und Bergungsdienst;;Mörfelden-Walldorf
27350;4;Kempa-Abschleppdienst;;;Firma;;Weiterstadt
89866;9;Landkreis Vorpommern-Rügen Standort Bergen;;KFZ-Zulassungsstelle;;;Stralsund
17696;4;Murmann;;Berge-, Abschlepp-, Pannendienst;;;Rodgau
4476;4;Nöh GmbH;Walter;Abschlepp- und Bergungsdienst;Firma;;Frankfurt
23148;4;Reller Abschlepp- & Containerdienst GmbH;;;Firma;;Ober-Mörlen
33143;4;Schwarz KG;;Abschleppdienst Autovermietung;Firma;;Hanau
22084;1;Virag;Levente;;Herrn;Abschleppdienstfahrer;Frankfurt
33680;4;Wüst Abschleppdienst GmbH;;;Firma;;Klingelberg-Röllfeld
